date,close,open,high,low,volume,SMA_7d,ATR_7d,BB_Upper_7d,BB_Lower_7d,Return_Std_7d,SMA_14d,ATR_14d,BB_Upper_14d,BB_Lower_14d,Return_Std_14d,SMA_30d,ATR_30d,BB_Upper_30d,BB_Lower_30d,Return_Std_30d,SMA_50d,ATR_50d,BB_Upper_50d,BB_Lower_50d,Return_Std_50d
2025-03-04,87322.7357514987,87535.9220249709,88987.4253886442,81616.7382259511,8215.15266256497,86762.2837550361,6793.022275259298,93855.5881266797,79668.9793833925,5.7599042798015185,90836.1156605313,5037.274591748955,101631.3356425639,80040.8956784987,4.27769671852661,94148.29064659498,4180.615461473672,103940.35011127299,84356.23118191697,3.1174200291860044,97448.61960373774,4254.063816056713,108979.44462295518,85917.79458452029,2.796200251207432
2025-03-05,90671.378554405,90505.7835977076,91031.9781438817,86445.3525604781,9118.87996368143,87687.13354521396,6442.083890902512,94906.90121954422,80467.3658708837,5.4501471229168565,90406.56598997698,5235.944651904255,100664.44343510715,80148.68854484681,4.420714500980514,93789.45633696976,3972.9186625752855,103260.07522678185,84318.83744715767,3.1168602888020813,97330.96638511642,4285.776309364827,109018.03475777044,85643.8980124624,2.8343741463470797
2025-03-06,89991.5426231923,90367.131730115,92864.2707647123,87913.9255767529,9676.82975865612,88440.37856208919,6530.117680734599,95306.49740607047,81574.2597181079,5.49846019839529,89809.08660615813,5424.985814550871,98990.25669837077,80627.9165139455,4.379775897191162,93529.03314049092,3942.9261726396726,102972.45870257696,84085.60757840489,3.057217391397033,97120.61097123873,4300.653954465589,108951.90975785107,85289.31218462638,2.770562958465226
2025-03-08,86293.8603695963,86413.0251414591,86920.2881335055,85314.8533973067,4076.55715425114,88816.82334425862,6311.581161629145,94873.80824495168,82759.83844356556,5.72563853846813,88407.34917560029,5575.75352857603,95880.71011455773,80933.98823664285,4.420064427479442,92859.4316115149,3993.8966157881096,102765.98580558634,82952.87741744345,3.111443723290364,96500.78804005099,4271.207926984382,108828.37891742263,84173.19716267935,2.739016433836923
2025-03-09,80795.4491931869,80393.801509407,86585.5141663682,80116.57908646,21542.631827531,86875.95761603271,5808.217036046146,93307.05883298483,80444.8563990806,4.349738357051191,87300.3921658107,5937.299226143894,94319.51196153558,80281.27237008582,4.667612790387689,92334.61997843908,4059.13362267874,103068.03812580706,81601.2018310711,3.3002687323132953,96027.86906635763,4347.331165815745,108913.70404267829,83142.03409003696,2.8667512745673127
2025-03-10,78626.4148167644,79544.5715608123,83987.3840487916,77529.7820982138,13028.1868400262,85789.22418424296,5398.524004900275,94786.03601926414,76792.41234922179,3.323554639900235,86373.31738393621,6033.660607719102,94311.4018359809,78435.23293189153,4.569085947193793,91739.52314602354,4235.245910208713,103456.63451888777,80022.4117731593,3.321868177164856,95574.54453850636,4345.580628432722,109273.5411652777,81875.54791173503,2.861147273435862
2025-03-11,82965.8770110422,83178.9824650881,83619.6787070384,76722.2771823408,8798.72434358319,85166.81579274917,5330.91177090092,94270.72780481176,76062.90378068658,4.149322706241739,85964.54977389264,6061.967023080108,93978.0688186762,77951.03072910907,4.831926376166762,91288.29235235177,4379.570096863181,103285.63310722027,79290.95159748326,3.505392926540557,95189.29700535441,4292.107044624514,109204.30819568771,81174.28581502111,2.9780898612867404
2025-03-12,83701.8983777702,83690.551392597,84262.8073405401,80678.3204309824,7733.01121829721,84171.17576751563,5187.749103208646,91883.87089964845,76458.4806353828,3.7479333416503025,85929.1546563648,5814.916497055579,93980.58403810475,77877.72527462486,4.6451012721283895,90828.67899259337,4397.192262110566,102899.09591746697,78758.26206771977,3.503516576359734,94739.57225412392,4221.697501839408,108757.12641030825,80722.0180979396,2.9205700081648973
2025-03-13,81121.00053389,81401.691340251,84324.3447729057,79983.5580026788,5659.57306387391,82903.95546904385,5100.66932924686,88871.33719131761,76936.5737467701,3.817254269604389,85672.16701556652,5815.3935049907295,94110.39105814979,77233.94297298325,4.715559611636193,90338.457248935,4420.504728005014,102758.28708353167,77918.62741433832,3.5295118096835423,94288.15025677472,4248.769459850346,108580.01606055316,79996.28445299629,2.932205963832702
2025-03-14,84019.444293188,84482.875996223,85319.0850667776,80845.135409382,4929.72940917489,82503.42065649114,4832.656661223229,87548.24650813313,77458.59480484916,4.094765079587375,85645.59162697764,5652.330708098815,94103.51058212231,77187.67267183296,4.821483905097598,89875.26238933392,4437.906479792287,102161.57829713251,77588.94648153533,3.574807650336684,93889.2872110632,4226.596563336777,108192.27767601084,79586.29674611556,2.985467292146064
